Name,Size,Type,Alignment,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,SavingThrows,Skills,WRI,Senses,Languages,CR,Additional,Font,AdditionalInfo,Author
"Animated Object, Armor",Medium,construct,unaligned,18,33,25 ft.,14,11,13,1,3,1,,,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,,1,"Antimagic, False",Monster Manual,,Wizards of the Coast
"Animated Object, Broom of Attack",Small,construct,unaligned,15,17,fly 50 ft.,10,17,10,1,5,1,,,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu, proneimmu",Blindsight 30,,1/4,"False, ",Curse of Strahd,,Wizards of the Coast
"Animated Object, Flying Sword",Small,construct,unaligned,17,17,fly 50 ft.,12,15,11,1,5,1,Dex,,"Coldres, fireres, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,,1/4,"Antimagic, False",Monster Manual,,Wizards of the Coast
"Animated Object, Rug of Smothering",Large,construct,unaligned,12,33,10 ft.,17,14,10,1,3,1,,,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,,2,"Antimagic, Damage Transfer, False",Monster Manual,,Wizards of the Coast
"Animated Object, Table",Large,construct,unaligned,15,39,40 ft.,18,8,13,1,3,1,,,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Blindsight 60,,2,"Antimagic Susceptibility, False Appearance, Charge",Tales from the Yawning Portal,,Wizards of the Coast
Ankheg,Large,monstrosity,unaligned,14,39,"30 ft., burrow 10 ft.",17,11,13,1,13,6,,,,"Darkvision 60, tremorsense 60",,2,,Monster Manual,,Wizards of the Coast
Assassin Vine,Large,plant,unaligned,13,85,"5 ft., climb 5 ft.",18,10,16,1,10,1,,,"Coldres, fireres, blindedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 30,,3,False Appearance,Tomb of Annihilation,,Wizards of the Coast
"Assorted Beast, Aurochs",Large,beast,unaligned,11,38,50 ft.,20,10,19,2,12,5,,,,Normal,,2,Charge,Volo's Guide to Monsters,,Wizards of the Coast
"Assorted Beast, Cattle",Large,beast,unaligned,10,15,30 ft.,18,10,14,2,10,4,,,,Normal,,1/4,Charge,Volo's Guide to Monsters,,Wizards of the Coast
"Assorted Beast, Dolphin",Medium,beast,unaligned,12,11,swim 60 ft.,14,13,13,6,12,7,,Perception,,Blindsight 60,,1/8,"Charge, Hold Breath",Volo's Guide to Monsters,,Wizards of the Coast
"Assorted Beast, Swarm of Rot Grubs",Medium,beast,unaligned,8,22,"5 ft., climb 5 ft.",2,7,10,1,2,1,,,"Piercingres, slashingres, charmedimmu, frightenedimmu grappledimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu",Blindsight 10,,1/2,Swarm,Volo's Guide to Monsters,,Wizards of the Coast
Astral Dreadnought,Gargantuan,monstrosity,unaligned,20,297,"15 ft., fly 80 ft.",28,7,25,5,14,18,"Dex, Wis",Perception,"Nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, stunnedimmu",Darkvision 120,,21,"Antimagic Cone, Astral Entity, Demiplanar Donjon, Legendary, Magic Weapons, Sever Silver Cord",Mordenkainen's Tome of Foes,,Wizards of the Coast
Atropal,Huge,undead (titan),neutral evil,7,225,fly 50 ft.,19,5,22,25,19,24,"Con, Wis",,"Radiantweak, coldimmu, necroticimmu, nonmagicalimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, proneimmu","Darkvision 120, truesight 120",Celestial,13,"Magic Resistance, Negative Energy Aura, Turn Resistance Aura, Legendary",Tomb of Annihilation,,Wizards of the Coast
Avatar of Death,Medium,undead,neutral evil,20,VARIES,"60 ft., fly 60 ft.",16,16,16,16,16,16,,,"Necroticimmu, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, unconsciousimmu","Darkvision 60, truesight 60",Creator,VARIES,"Incorporeal Movement, Turning Immunity",Dungeon Master's Guide,,Wizards of the Coast
Awakened Zurkhwood,Huge,plant,unaligned,13,59,20 ft.,19,6,15,10,10,7,,,"Fireweak, bludgeoningres, piercingres",Normal,Any,2,False Appearance,Out of the Abyss,,Wizards of the Coast
Azer,Medium,elemental,lawful neutral,17,39,30 ft.,17,12,15,12,13,10,Con,,"Fireimmu, poisonimmu, poisonimmu",Normal,Ignan,2,"Heated Body, Heated Weapons, Illumination",Monster Manual,,Wizards of the Coast
Baba Lysaga's Creeping Hut,Gargantuan,construct,unaligned,16,263,30 ft.,26,7,20,1,3,3,"Con, Wis, Cha",,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu,  deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu",Blindsight 120,,11,"False, Siege",Curse of Strahd,,Wizards of the Coast
Balhannoth,Large,aberration,chotic evil,17,114,"25 ft., climb 25 ft.",17,8,18,6,15,8,Con,Perception,Blindedimmu,Blindsight 500,"Deep Speech, telepathy 1 mile",11,"Legendary, Lair",Mordenkainen's Tome of Foes,,Wizards of the Coast
Banderhobb,Large,monstrosity,neutral evil,15,84,30 ft.,20,12,20,11,14,8,,"Athletics, Stealth","Charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Common, Any",5,"Resonant Connection, Shadow Stealth",Volo's Guide to Monsters,,Wizards of the Coast
Banshee,Medium,undead,chotic evil,12,58,fly 40 ft.,1,14,10,12,11,17,"Wis, Cha",,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,"Common, Elvish",4,"Detect Life, Incorporeal Movement",Monster Manual,,Wizards of the Coast
Barghest,Large,fiend (shapechanger),neutral evil,17,90,60 ft.,19,15,14,13,12,14,,"Deception, Intimidation, Perception, Stealth","Coldres, fireres, lightningres, nonmagicalres, acidimmu, poisonimmu, poisonedimmu","Blindsight 60, darkvision 60","Abyssal, Common, Goblin, Infernal, telepathy 60",4,"Shapechanger, Fire Banishment, Keen Smell, Innate Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
Basilisk,Medium,monstrosity,unaligned,15,52,30 ft.,16,8,15,2,8,7,"Str, Con, Wis, Cha","Deception, Insight, Perception","Coldres, nonmagicalres, nonsilvered immu, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",3,"Barbed Hide, Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
Behir,Huge,monstrosity,neutral evil,17,168,"50 ft., climb 40 ft.",23,16,18,7,16,12,,"Perception, Stealth",Lightningimmu,Darkvision 90,Draconic,11,,Monster Manual,,Wizards of the Coast
Beholder,Large,aberration,lawful evil,18,180,30 ft.,10,14,18,17,15,17,"Str, Con, Wis",,"Coldres, nonmagicalres, nonsilveredimmu, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",13,"Devil's Sight,  Magic Resistance, Steadfast",Monster Manual,,Wizards of the Coast
"Beholder, Death Kiss",Large,aberration,neutral evil,16,161,fly 30 ft.,18,14,18,10,12,10,"Con, Wis",Perception,"Lightningimmu, proneimmu",Darkvision 120,"Deep Speech, Undercommon",10,Lightning Blood,Volo's Guide to Monsters,,Wizards of the Coast
"Beholder, Death Tyrant",Large,undead,lawful evil,19,187,"50 ft., climb 40 ft.",10,14,14,19,15,19,,"Perception, Stealth",Lightningimmu,Darkvision 90,Draconic,14,,Monster Manual,,Wizards of the Coast
"Beholder, Gauth",Medium,aberration,lawful evil,15,67,fly 20 ft.,10,14,16,15,15,13,"Int, Wis, Cha",Perception,Proneimmu,Darkvision 120,"Deep Speech, Undercommon",6,"Stunning Gaze, Death Throes",Volo's Guide to Monsters,,Wizards of the Coast
"Beholder, Gazer",Tiny,aberration,neutral evil,13,13,fly 30 ft.,3,17,14,3,10,7,Wis,"Perception, Stealth",Proneimmu,Darkvision 60,,1/2,"Aggressive, Mimicry",Volo's Guide to Monsters,,Wizards of the Coast
"Beholder, Spectator",Medium,aberration,lawful neutral,14,39,fly 20 ft.,8,14,14,13,14,11,"Int, Wis, Cha",Perception,Proneimmu,Darkvision 120,"Deep Speech, Undercommon",3,"Antimagic Cone, Lair, Legendary",Monster Manual,,Wizards of the Coast
Berbalang,Medium,aberration,neutral evil,14,38,"30 ft., fly 40 ft.",9,16,9,17,11,10,,"Arcana, History, Insight, Perception, Religion",,Truesight 120,All,2,"Spectral Duplicate, Innate Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
Black Earth Guard,Medium,humanoid (human),neutral evil,18,39,30 ft.,17,11,14,10,10,9,,"Intimidation, Perception",,Normal,Common,2,,Princes of the Apocalypse,,Wizards of the Coast
Black Earth Priest,Medium,humanoid (human),neutral evil,17,45,30 ft.,15,11,14,12,10,16,,"Intimidation, Religion, Persuasion",,Normal,"Common, Terran",3,Normal Spellcasting,Princes of the Apocalypse,,Wizards of the Coast
"Black Earth, Burrowshark",Medium,humanoid (human),neutral evil,18,82,30 ft.,18,12,16,10,11,13,,"Animal Handling, Athletics, Intimidation, Perception",,Normal,Common,4,Bond of the Black Earth,Princes of the Apocalypse,,Wizards of the Coast
"Black Earth, Sacred Stone Monk",Medium,humanoid (human),lawful evil,14,22,40 ft.,13,15,12,10,14,9,,"Acrobatics, Athletics, Perception",,Tremorsense 10,Common,1/2,"Unarmored Defense, Unarmored Movement",Princes of the Apocalypse,,Wizards of the Coast
"Black Earth, Stonemelder",Medium,humanoid (human),neutral evil,17,75,30 ft.,15,10,16,12,11,17,,"Intimidation, Perception",,Tremorsense 30,"Common, Terran",4,"Death Burst, Normal Spellcasting",Princes of the Apocalypse,,Wizards of the Coast
"Blight, Needle",Medium,plant,neutral evil,12,11,30 ft.,12,12,13,4,8,3,,,"Blindedimmu, deafenedimmu",Blindsight 60,Common,1/4,,Monster Manual,,Wizards of the Coast
"Blight, Tree",Huge,plant,neutral evil,15,149,30 ft.,23,10,20,6,10,3,,,"Blindedimmu, deafenedimmu",Blindsight 60,"Common, Druidic",7,"False, Siege",Curse of Strahd,,Wizards of the Coast
"Blight, Twig",Small,plant,neutral evil,13,4,20 ft.,6,13,12,4,8,3,,Stealth,"Fireweak, blindedimmu, deafenedimmu",Blindsight 60,Common,1/8,False Appearance,Monster Manual,,Wizards of the Coast
"Blight, Vine",Medium,plant,neutral evil,12,26,30 ft.,15,8,14,5,10,3,,,"Blindedimmu, deafenedimmu",Blindsight 60,Common,1/2,False Appearance,Monster Manual,,Wizards of the Coast
Bodak,Medium,undead,chotic evil,15,58,30 ft.,15,16,15,7,12,12,,"Perception, Stealth","Coldres, fireres, necroticres, nonmagicalres, lightningimmu, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Abyssal, Any",6,"Aura of Annihilation, Death Gazer, Sunlight Hypersensitivity",Volo's Guide to Monsters,,Wizards of the Coast
Boggle,Small,fey,chaotic neutral,14,18,"30 ft., climb 30 ft.",8,18,13,6,12,7,,"Perception, Sleight of Hand, Stealth",Fireres,Darkvision 60,Sylvan,1/8,"Boggle Oil, Dimensional Rift, Uncanny Smell",Volo's Guide to Monsters,,Wizards of the Coast
Boneclaw,Large,undead,chotic evil,16,127,40 ft.,19,16,15,13,15,9,"Dex, Con, Wis","Perception, Stealth","Coldres, necroticres, nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,"Common, Any",12,"Rejuvenation, Shadow Stealth",Mordenkainen's Tome of Foes,,Wizards of the Coast
Bugbear,Medium,humanoid,chotic evil,16,27,30 ft.,15,14,13,8,11,9,,"Stealth, Survival",,Darkvision 60,"Common, Goblin",1,"Brute, Surprise Attack",Monster Manual,,Wizards of the Coast
Bugbear Chief,Medium,humanoid,chotic evil,17,65,30 ft.,17,14,14,11,12,11,,"Intimidation, Stealth, Survival",,Darkvision 60,"Common, Goblin",3,"Brute, Hearth of Hruggek, Surprise Attack",Monster Manual,,Wizards of the Coast
Bulette,Large,monstrosity,unaligned,17,94,"40 ft., burrow 40 ft.",19,11,21,2,10,5,,Perception,,"Darkvision 60, tremorsense 60",,5,Standing Leap,Monster Manual,,Wizards of the Coast
Bullywug,Medium,humanoid,neutral evil,15,11,"20 ft., swim 40 ft.",12,12,13,7,10,7,,Stealth,,Normal,Own,1/4,"Amphibious, Speak with Frogs, Speak with Toads, Swamp Camouflage, Standing Leap",Monster Manual,,Wizards of the Coast
Cadaver Collector,Large,construct,lawful evil,17,189,30 ft.,21,14,20,5,11,8,,,"Necroticimmu, poisonimmu, psychicimmu, nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,All,14,"Magic Resistance, Summon Specters",Mordenkainen's Tome of Foes,,Wizards of the Coast
Cambion,Medium,fiend,ANY EVIL,19,82,"30 ft., fly 60 ft.",18,18,16,14,12,16,"Str, Con, Int, Cha","Deception, Intimidation, Perception, Stealth","Coldres, fireres, lightningres, poisonres, nonmagicalres",Darkvision 60,"Abyssal, Common, Infernal",5,"Fiendish Blessing, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Carrion Crawler,Large,monstrosity,unaligned,13,51,"30 ft., climb 30 ft.",14,13,16,1,12,5,,Perception,,Darkvision 60,,2,"Keen Smell, Spider Climb",Monster Manual,,Wizards of the Coast
Catoblepas,Large,monstrosity,unaligned,14,84,30 ft.,19,12,21,3,4,8,,,,Darkvision 60,,5,"Keen Smell, Stench",Volo's Guide to Monsters,,Wizards of the Coast
Cave Fisher,Medium,monstrosity,unaligned,16,58,"20 ft., climb 20 ft.",16,13,14,3,10,3,,"Perception, Stealth",,Blindsight 60,,3,"Adhesive Filament, Flammable Blood, Spider Climb",Volo's Guide to Monsters,,Wizards of the Coast
Centaur,Large,monstrosity,neutral good,12,45,50 ft.,18,14,14,9,13,11,,"Athletics, Perception, Survival",,Normal,"Elvish, Sylvan",2,Charge,Monster Manual,,Wizards of the Coast
Centaur Mummy,Large,undead,lawful evil,13,85,30 ft.,20,12,16,5,14,12,Wis,,"Fireweak, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,"Common, Sylvan",6,Charge,Tales from the Yawning Portal,,Wizards of the Coast
Chimera,Large,monstrosity,chotic evil,14,114,"30 ft., fly 60 ft.",19,11,19,3,14,10,,Perception,,Darkvision 60,Draconic,6,,Monster Manual,,Wizards of the Coast
Chitine,Small,monstrosity,chotic evil,14,18,"30 ft., climb 30 ft.",10,14,12,10,10,7,,"Athletics, Stealth",,Darkvision 60,Undercommon,1/2,"Fey Ancestry, Sunlight Sensitivity, Web Sense,  Web Walker",Volo's Guide to Monsters,,Wizards of the Coast
"Chitine, Choldrith",Medium,monstrosity,chotic evil,15,66,"30 ft., climb 30 ft.",12,16,12,11,14,10,,"Athletics, Religion, Stealth",,Darkvision 60,Undercommon,3,"Fey Ancestry, Normal Spellcasting, Spider Climb, Sunlight Sensitivity, Web Sense, Web Walker",Volo's Guide to Monsters,,Wizards of the Coast
Choker,Small,aberration,chotic evil,16,13,30 ft.,16,14,13,4,12,7,,Stealth,,Darkvision 60,Deep Speech,1,"Aberrant Quickness, Boneless, Spider Climb",Mordenkainen's Tome of Foes,,Wizards of the Coast
Chuul,Large,aberration,chotic evil,16,93,"30 ft., swim 30 ft.",19,10,16,5,11,5,,Perception,"Poisonimmu, poisonedimmu",Darkvision 60,Deep Speech,4,"Amphibious, Sense Magic",Monster Manual,,Wizards of the Coast
Chwinga,Tiny,elemental,neutral,15,5,"20 ft., climb 20 ft., swim 20 ft.",1,20,10,14,16,16,,"Acrobatics, Perception, Stealth",,Blindsight 60,,0,"Evasion, Innate Spellcasting",Tomb of Annihilation,,Wizards of the Coast
Cloaker,Large,aberration,chaotic neutral,14,78,"10 ft., fly 40 ft.",17,15,12,13,12,14,,Stealth,,Darkvision 60,"Deep Speech, Undercommon",8,"Damage Transfer, False Appearance, Light Sensitivity",Monster Manual,,Wizards of the Coast
"Clockwork, Bronze Scout",Medium,construct,unaligned,13,18,"30 ft., burrow 30 ft.",10,16,11,3,14,1,,"Perception, Stealth","Poisonimmu, nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,1,"Earth Armor, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Clockwork, Iron Cobra",Medium,construct,unaligned,13,45,30 ft.,12,16,14,3,10,1,,Stealth,"Poisonimmu, nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,4,Magic Resistance,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Clockwork, Oaken Bolter",Medium,construct,unaligned,16,58,30 ft.,12,18,15,3,10,1,,,"Poisonimmu, nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,5,Magic Resistance,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Clockwork, Stone Defender",Medium,construct,unaligned,16,52,30 ft.,19,10,17,3,10,1,,,"Poisonimmu,nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,4,"False Appearance, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
Cockatrice,Small,monstrosity,unaligned,11,27,"20 ft., fly 40 ft.",6,12,12,2,13,5,,,,Darkvision 60,,1/2,,Monster Manual,,Wizards of the Coast
Corpse Flower,Large,plant,chotic evil,12,127,"20 ft., climb 20 ft.",14,14,16,7,15,3,,,"Blindedimmu, deafenedimmu",Blindsight 120,,8,"Corpses, Spider Climb, Stench of Death",Mordenkainen's Tome of Foes,,Wizards of the Coast
Couatl,Medium,celestial,lawful good,19,97,"30 ft., fly 90 ft.",16,20,17,18,20,18,"Con, Wis, Cha",,"Radiantres, psychicimmu, nonmagicalimmu",Truesight 120,"All, telepathy 120",4,"Innate Spellcasting, Magic Weapons, Shielded Mind",Monster Manual,,Wizards of the Coast
Crag Cat,Large,beast,unaligned,13,34,40 ft.,16,17,16,4,14,8,,"Perception, Stealth",,Darkvision 60,,1,"Nondetection, Pounce, Spell Turning",Storm King's Thunder,,Wizards of the Coast
Cranium Rat,Tiny,beast,lawful evil,12,2,30 ft.,2,14,10,4,11,8,,,,"Darkvision 30, tremorsense 60",Telepathy 30,0,"Illumination, Telepathic Shroud",Volo's Guide to Monsters,,Wizards of the Coast
"Cranium Rat, Swarm",Medium,beast,lawful evil,12,36,30 ft.,9,14,10,15,11,14,,,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu","Darkvision 30, tremorsense 60",Telepathy 30,5,"Illumination, Innate Spellcasting, Swarm, Telepathic Shroud",Volo's Guide to Monsters,,Wizards of the Coast
Crawling Claw,Tiny,undead,neutral evil,12,2,"20 ft., climb 20 ft.",13,14,11,5,10,4,,,"Poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Blindsight 30,Common,0,Turn Immunity,Monster Manual,,Wizards of the Coast
Crushing Wave Priest,Medium,humanoid (human),neutral evil,13,52,30 ft.,15,11,14,10,11,16,,"Deception, Religion, Stealth",,Normal,"Aquan, Common",2,Normal Spellcasting,Princes of the Apocalypse,,Wizards of the Coast
Crushing Wave Reaver,Medium,humanoid (human),neutral evil,14,22,30 ft.,15,14,13,10,11,8,,"Athletics, Stealth",,Normal,Common,1/2,,Princes of the Apocalypse,,Wizards of the Coast
"Crushing Wave, Dark Tide Knight",Medium,humanoid (human),lawful evil,13,58,30 ft.,17,16,14,10,11,11,,"Athletics, Stealth",,Normal,Common,3,Bonded Mount,Princes of the Apocalypse,,Wizards of the Coast
"Crushing Wave, Fathomer",Medium,humanoid (human),neutral evil,10,52,30 ft.,14,11,14,11,11,15,,"Arcana, Perception, Stealth",,Normal,"Aquan, Common",2,"Shapechanger, Olhydra's Armor, Normal Spellcasting",Princes of the Apocalypse,,Wizards of the Coast
"Crushing Wave, One-Eyed Shiver",Medium,humanoid (human),chotic evil,12,49,30 ft.,10,14,12,13,13,17,,"Arcana, Perception, Intimidation",Coldimmu,Normal,Common,3,Chilling Mist,Princes of the Apocalypse,,Wizards of the Coast
Cyclops,Huge,giant,chaotic neutral,14,138,30 ft.,22,11,20,8,6,10,,,,Normal,Giant,6,Poor Depth Perception,Monster Manual,,Wizards of the Coast
Darkling,Small,fey,chaotic neutral,14,13,30 ft.,9,16,12,10,12,10,,"Acrobatics, Deception, Perception, Stealth",,"Blindsight 30, darkvision 120","Elvish, Sylvan",1/2,"Death Flash, Light Sensitivity",Volo's Guide to Monsters,,Wizards of the Coast
Darkling Elder,Medium,fey,chaotic neutral,15,27,30 ft.,13,17,12,10,14,13,,"Acrobatics, Deception, Perception, Stealth",,"Blindsight 30, darkvision 120","Elvish, Sylvan",2,Death Burn,Volo's Guide to Monsters,,Wizards of the Coast
Darkmantle,Small,monstrosity,unaligned,11,22,"10 ft., fly 30 ft.",16,12,13,2,10,5,,Stealth,,Blindsight 60,,1/2,"Echolocation,  False Appearance",Monster Manual,,Wizards of the Coast
Death Knight,Medium,undead,chotic evil,20,180,30 ft.,20,11,20,12,16,18,"Dex, Wis, Cha",,"Necroticimmu, poisonimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Abyssal, Common",17,"Magic Resistance, Marshal Undead, Spellcasting",Monster Manual,,Wizards of the Coast
Deathlock,Medium,undead,neutral evil,12,36,30 ft.,11,15,10,14,12,16,"Int, Cha","Arcana, History","Necroticres, nonmagicalres, nonsilveredres, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,4,"Innate Spellcasting, Normal Spellcasting, Turn Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
Deathlock Mastermind,Medium,undead,neutral evil,13,110,30 ft.,11,16,12,15,12,17,"Int, Cha","Arcana, History, Perception","Necroticres, nonmagicalres, nonsilveredres, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 120,Any,8,"Innate Spellcasting, Normal Spellcasting, Turn Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
Deathlock Wight,Medium,undead,neutral evil,12,37,30 ft.,11,14,16,12,14,16,Wis,"Arcana, Perception","Necroticres, nonmagicalres, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,3,"Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Decapus,Large,monstrosity,unaligned,14,75,"15 ft., climb 30 ft.",15,14,14,4,10,7,,"Athletics, Perception, Stealth",,Darkvision 60,,4,,The Tortle Package,,Wizards of the Coast
Deep Scion,Medium,humanoid (shapechanger),neutral evil,11,67,"30 ft., swim 40 ft.",18,13,16,10,12,14,"Wis, Cha","Deception, Insight, Sleight of Hand, Stealth",,Darkvision 120,"Aquan, Common, Thieves' Cant",3,"Shapechanger, Amphibious",Volo's Guide to Monsters,,Wizards of the Coast
Demilich,Tiny,undead,neutral evil,20,80,fly 30 ft.,1,20,10,20,17,20,"Con, Int, Wis, Cha",,"Magicalres, necroticimmu, poisonimmu, psychicimmu, nonmagicalimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, stunnedimmu",Truesight 120,,18,"Avoidance, Legendary Resistance, Turn Immunity, Legendary, Lair",Monster Manual,,Wizards of the Coast
